,Unnamed: 0.1,Unnamed: 0,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
217,10459.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-12-01,57970,33053,11027,    3323,    3017,    -244
218,10460.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-11-24,54647,30036,11271,     570,     541,   -2052
219,10461.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-11-17,54077,29495,13323,    2453,    2517,   -2056
220,10462.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-11-10,51624,26978,15379,     590,     513,   -1323
221,10463.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-11-03,51034,26465,16702,   -1104,   -1182,    -894
222,10464.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-10-27,52138,27647,17596,     -61,    1052,   -1174
223,10465.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-10-20,52199,26595,18770,     941,     476,    1562
224,10466.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-10-13,51258,26119,17208,    -737,   -1006,   -1322
225,10467.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-10-06,51995,27125,18530,   -3685,      71,    1300
226,10468.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-09-29,55680,27054,17230,   -4324,   -3364,   -2928
227,10469.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-09-22,60004,30418,20158,   -1774,   -4749,    4428
228,10470.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-09-15,61778,35167,15730,    2067,    2607,   -1559
229,10471.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-09-08,59711,32560,17289,    -827,   -2500,    1684
230,10472.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-09-01,60538,35060,15605,    2707,     266,     724
231,10473.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-08-25,57831,34794,14881,    -694,    -864,    1035
232,10474.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-08-18,58525,35658,13846,    1625,     847,    1307
233,10475.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-08-11,56900,34811,12539,    1253,    1407,   -1359
234,10476.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-08-04,55647,33404,13898,    1122,      62,    2968
235,10477.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-07-28,54525,33342,10930,    2454,    2088,      88
236,10478.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-07-21,52071,31254,10842,    4055,    4143,      35
237,10479.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-07-14,48016,27111,10807,   -1127,    -569,     442
238,10480.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-07-07,49143,27680,10365,    1306,     955,    -512
239,10481.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-06-30,47837,26725,10877,     562,     951,    2866
240,10482.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-06-23,47275,25774,8011,   -2641,    -594,     754
241,10483.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-06-16,49916,26368,7257,    -895,   -1002,    -398
242,10484.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-06-09,50811,27370,7655,   -1977,   -1275,     602
243,10485.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-06-02,52788,28645,7053,    1229,   -1279,     152
244,10486.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-05-26,51559,29924,6901,     -93,    -747,   -1757
245,10487.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-05-19,51652,30671,8658,    1710,    2418,   -1440
246,10488.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-05-12,49942,28253,10098,    -385,    -386,    -295
