,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
106255,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-01-28,40869,11389,11830,   -1241,    -256,   -1736
106256,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-01-21,42110,11645,13566,    -681,    -956,   -1976
106257,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-01-14,42791,12601,15542,     704,   -6212,    1456
106258,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-01-07,42087,18813,14086,   -9052,   -7694,   -1532
106259,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-12-31,51139,26507,15618,       8,     -30,    1001
106260,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-12-24,51131,26537,14617,    3764,    1245,    1280
106261,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-12-17,47367,25292,13337,  -17139,    3079,    3122
106262,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-12-10,64506,22213,10215,   18644,    7724,    2273
106263,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-12-03,45862,14489,7942,    3441,    1477,    -418
106264,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-11-26,42421,13012,8360,     651,     -86,   -1069
106265,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-11-19,41770,13098,9429,   -2629,   -1024,   -1504
106266,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-11-12,44399,14122,10933,   -8353,   -6357,   -1451
106267,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-11-05,52752,20479,12384,   -1953,   -2248,    1108
106268,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-10-29,54705,22727,11276,    2303,     552,      32
106269,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-10-22,52402,22175,11244,    2115,     418,     254
106270,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-10-15,50287,21757,10990,    -730,    1444,    1092
106271,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-10-08,51017,20313,9898,    5719,    2415,   -1364
106272,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-10-01,45298,17898,11262,    5786,    2769,    1878
106273,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-09-24,39512,15129,9384,   10418,    5137,       8
106274,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-09-17,29094,9992,9376,   -9666,    -606,    -802
106275,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-09-10,38760,10598,10178,   -1331,    -211,     428
106276,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-09-03,40091,10809,9750,   -1591,    -787,   -1444
106277,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-08-27,41682,11596,11194,     544,    -465,    -576
106278,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-08-20,41138,12061,11770,    3554,    1435,    3280
106279,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-08-13,37584,10626,8490,    2642,    1870,    -591
106280,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-08-06,34942,8756,9081,     843,    -775,   -1711
106281,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-07-30,34099,9531,10792,    -807,    3192,    -980
106282,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-07-23,34906,6339,11772,   -5352,   -4415,   -3951
106283,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-07-16,40258,10754,15723,     821,   -1553,    1640
106284,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-07-09,39437,12307,14083,    7642,    3388,    5048
106285,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-07-02,31795,8919,9035,     318,   -1013,    1567
106286,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-06-25,31477,9932,7468,   -2369,   -5045,   -1718
106287,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-06-18,33846,14977,9186,  -31398,    8401,  -18128
106288,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-06-11,65244,6576,27314,     692,     705,   -4360
106289,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-06-04,64552,5871,31674,   -5463,   -2065,   -5234
106290,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-05-28,70015,7936,36908,    4869,    -878,    8164
106291,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-05-21,65146,8814,28744,    7062,    -736,    3784
106292,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-05-14,58084,9550,24960,    8839,    2259,   11434
106293,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-05-07,49245,7291,13526,   -1627,    -841,   -2870
106294,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-04-30,50872,8132,16396,     771,   -5117,    4326
106295,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-04-23,50101,13249,12070,   -3668,   -1705,   -6137
106296,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-04-16,53769,14954,18207,   11018,    8384,    1623
106297,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-04-09,42751,6570,16584,   -8722,   -3219,   -5220
106298,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-04-02,51473,9789,21804,    1898,    1121,     938
106299,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-03-26,49575,8668,20866,   -1005,   -2475,   -1273
106300,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-03-19,50580,11143,22139,  -18828,    4937,    2445
106301,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-03-12,69408,6206,19694,   14097,    -886,    1152
106302,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-03-05,55311,7092,18542,    7709,   -1073,    2186
106303,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-02-26,47602,8165,16356,    4769,   -2904,    4612
106304,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-02-19,42833,11069,11744,     983,   -1044,    4183
106305,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-02-12,41850,12113,7561,   -1735,    -978,   -1654
106306,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-02-05,43585,13091,9215,    4967,    1097,    1369
106307,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-01-29,38618,11994,7846,    -865,   -3238,   -1002
106308,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-01-22,39483,15232,8848,   -3693,   -3775,    2611
106309,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-01-15,43176,19007,6237,   -3540,    -597,   -3106
106310,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-01-08,46716,19604,9343,   -3466,   -4196,   -2826
106311,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-12-31,50182,23800,12169,    1548,    1903,    1707
106312,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-12-24,48634,21897,10462,    5222,    4536,   -2619
106313,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-12-18,43412,17361,13081,   -5423,    6118,    5047
106314,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-12-11,48835,11243,8034,    4037,    -479,   -3052
106315,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-12-04,44798,11722,11086,    2031,    1978,   -2025
106316,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-11-27,42767,9744,13111,   -3443,    2524,   -6597
106317,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-11-20,46210,7220,19708,    -730,   -4168,    -568
106318,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-11-13,46940,11388,20276,    6629,   -2121,    6464
106319,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-11-06,40311,13509,13812,    2720,    1724,    4393
106320,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-10-30,37591,11785,9419,     822,    1029,    1024
106321,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-10-23,36769,10756,8395,     282,     467,   -3086
106322,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-10-16,36487,10289,11481,    1223,   -1387,    -501
106323,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-10-09,35264,11676,11982,   -2049,    -965,   -1643
